Name,Amount
AIR SPRAY (1967) LTD.,"8,435,264 "
AIRD & BERLIS,"129,952 "
AIR–HART AVIATION,"39,272 "
AIRSPAN HELICOPTERS LTD.,"1,691,863 "
AKD REFORESTATION LTD.,"69,208 "
AKEHURST AND GALVANI REFORESTATION LTD.,"802,492 "
AKIN GUMP STRAUSS HAUER & FELD L L P,"1,752,363 "
AKTIV SOFTWARE CORPORATION,"385,549 "
AL STOBER CONSTRUCTION LTD.,"450,069 "
ALBERNI VALLEY RESCUE SQUAD,"26,807 "
ALBERNI–CLAYOQUOT REGIONAL HOSPITAL,"611,945 "
ALBERTA INNOVATES – TECHNOLOGY FUTURES,"26,250 "
ALBERTA SUSTAINABLE RESOURCE DEVELOPMENT,"5,126,115 "
"ALBIETZ, KRISTIAN","29,206 "
ALCES LANDSCAPE AND LAND–USE LTD.,"60,953 "
ALEX GRZYBOWSKI & ASSOCIATES LTD.,"506,922 "
ALEXANDER HOLBURN BEAUDIN + LANG LLP,"2,147,514 "
ALEXANDER HOLBURN BEAUDIN + LANG LLP IN TRUST,"40,476 "
ALKALI RESOURCE MANAGEMENT LTD.,"388,134 "
ALL CANADA MOVING,"30,268 "
ALL IN ENTERPRISES INC.,"70,225 "
ALL NATIONS TRUST COMPANY,"65,000 "
ALL SEASONS LANDSCAPE CONTRACTING,"76,323 "
ALL TERRAIN CONSTRUCTION LTD.,"343,326 "
ALLEGIANCE ONE SECURITY (2005) INC.,"76,632 "
ALLEGRA PRINT & IMAGING,"64,693 "
ALLEN & ASSOCIATES,"60,687 "
ALLEN DOBB CONSULTING,"58,885 "
"ALLEN, JOHN DOBB","31,008 "
ALLIANCE BUSINESS SOLUTIONS INC.,"139,776 "
ALLIANCE MEDICAL MONITORING,"134,949 "
ALLIANCE TRAFFIC CONSTRUCTION & PAVING LTD.,"124,765 "
ALLIANCE TRAFFIC GROUP INC.,"66,339 "
ALLIED MEDICAL INSTRUMENTS INC,"118,708 "
ALLMAN SAFETY CONSULTING CORP.,"60,400 "
ALLNORTH CONSULTANTS LIMITED,"261,696 "
ALLNORTH LAND SURVEYORS,"27,140 "
ALLSTREAM INC.,"809,403 "
ALLTECK LINE CONTRACTORS INC.,"27,647 "
ALLTERRA LAND SURVEYING LTD.,"42,424 "
ALL–WEST GLASS PRINCE GEORGE LTD.,"27,040 "
ALLWEST REPORTING LTD.,"212,173 "
ALPENGLOW CONSULTANTS,"80,000 "
ALPHA SAFETY LTD.,"246,004 "
ALPHABET COMMUNICATIONS LTD.,"61,097 "
"ALPHONSE, JOE & TL'ETINQOX–T'IN GOVERNMENT OFFICE","25,560 "
ALPINE BUILDING MAINTENANCE INC,"31,828 "
ALPINE COUNTRY RENTALS LTD.,"359,535 "
ALPINE FIRST AID LTD.,"27,714 "
ALPINE HELICOPTERS INC.,"858,903 "
ALPINE LAKES AIR LTD.,"54,012 "
ALPINE LOGGING LTD.,"739,613 "
ALPINE PAVING (1978) LTD.,"2,268,358 "
ALPINE VILLAGE SHOPPING CENTRE LTD.,"84,173 "
ALS CANADA LTD.,"257,863 "
ALS ENVIRONMENTAL,"77,562 "
ALSAB HOLDINGS CORPORATION & NADAR HOLDINGS LTD.,"107,715 "
ALTA LAKE EQUIPMENT LTD.,"35,911 "
ALTAMIRA CONSULTING LTD.,"153,820 "
ALTERNATIVE FOREST OPERATIONS LTD.,"683,511 "
ALTERNATIVE INSPECTION PRODUCTS,"26,621 "
ALTIS HR,"77,699 "
ALTOFT HELICOPTER SERVICES LTD.,"128,245 "
ALTUS GROUP LTD.,"133,769 "
"AM SANDHER FARMS LTD & ZYLA, KEN","85,522 "
AMEC FOSTER WHEELER AMERICAS LIMITED,"1,352,695 "
AMEX BANK OF CANADA,"3,445,624 "
AMIRIX SYSTEMS INC.,"89,684 "
"AMOS, WALTER & AMOS, GERTRUD","640,477 "
AMPCO MANUFACTURERS INC.,"50,940 "
AMPERSAND SYSTEMS INC.,"137,672 "
ANALYSISWORKS INC.,"139,141 "
"ANDERSON, BROCK","98,233 "
"ANDERSON, ELLEN LEE","42,823 "
ANDRE'S INVESTMENTS LTD.,"62,651 "
ANDREW PELLER LIMITED,"164,941 "
"ANDREYCHUK, LORNA M","97,217 "
ANDSONS TRANSFER SERVICES,"169,291 "
ANGUS & ASSOCIATES,"36,143 "
ANGUS ONE PROFESSIONAL RECRUITMENT LTD.,"237,228 "
ANNEX CONSULTING GROUP INC.,"1,517,131 "
ANRITSU ELECTRONICS LTD,"37,834 "
"ANSELMO, NATHAN","33,391 "
ANSPAYAXW DEVELOPMENTS LTD.,"293,051 "
ANTHONY STEADMAN AND ASSOCIATES INC.,"196,746 "
