Name,Amount
49 NORTH HELICOPTERS LTD.,"741,630"
5 POINT OPERATIONS INC.,"102,444"
510929 B.C. LTD.,"164,668"
517568 B.C. LTD.,"1,448,854"
522828 B.C. LTD.,"79,951"
526761 B.C. LTD.,"223,936"
543251 B.C. LTD.,"75,171"
561075 B.C. LTD.,"38,758"
561655 B.C. LTD.,"118,584"
566487 B.C. LTD.,"212,016"
579985 B.C. LTD.,"162,466"
581947 B.C. LTD.,"180,696"
593299 B.C. LTD.,"119,170"
593402 B.C. LTD.,"48,943"
596961 B.C. LTD.,"1,580,671"
5L COMMERCIAL LTD.,"143,983"
600051 B.C. LTD.,"75,219"
6267441 CANADA INC.,"93,468"
644230 B.C. LTD.,"594,361"
645999 BC LTD.,"70,631"
647354 B.C. LTD.,"400,824"
650417 B.C. LTD.,"831,605"
653905 B.C. LTD.,"1,867,456"
6640 VEDDER ROAD HOLDINGS LTD.,"97,248"
669251 ALBERTA LTD,"25,725"
672462 B.C. LTD.,"65,198"
673030 B.C. INCORPORATED,"117,131"
679692 BC LTD.,"735,703"
683489 B.C. LTD.,"96,929"
686149 B.C. LTD.,"429,695"
687495 B.C. LTD.,"255,030"
688667 B.C. LTD.,"171,727"
6893449 CANADA INC.,"39,375"
7 CONSULTING INC.,"138,386"
790585 ONTARIO INC.,"60,975"
"7–ELEVEN CANADA, INC.","52,195"
8100 GRANVILLE HOLDINGS INC.,"530,539"
818 FORT HOLDINGS LTD.,"474,595"
844 COURTNEY STREET HOLDINGS INC.,"243,060"
865 HORNBY STREET BUILDING LTD.,"5,970,334"
88 PROFESSIONAL CENTER LTD.,"276,746"
910 GOVERNMENT HOLDINGS LTD.,"592,228"
911 SUPPLY AND ADVENTURE GEAR INC.,"123,286"
9110 INVESTMENTS LTD.,"36,380"
947 FORT HOLDINGS LTD.,"1,954,420"
A & G SUPPLY LTD.,"68,656"
A C STONESCAPES INC.,"25,200"
A K C CONTRACTING LTD.,"47,796"
A. E. JAMES LTD.,"27,241"
A. G. APPEL ENTERPRISES LTD.,"221,878"
A. MICHAEL ANDREWS AND ASSOCIATES LTD.,"132,099"
A. TOUTANT CONSULTING GROUP (1994) LTD.,"63,100"
A. WILLOCK INFORMATION SYSTEMS INCORPORATED,"773,052"
A. WOOD BULLDOZING LTD.,"35,829"
A.C.E. COURIER SERVICES,"135,921"
A.I. CONTRACTING LTD.,"551,651"
A.L. SOTT (NANAIMO) INC.,"99,394"
A.L. SOTT FINANCIAL (102ND) INC.,"777,676"
A.S. ROACH FIRE SERVICES LTD.,"50,277"
A.S.I. ACCOUNTING SERVICES INC.,"34,141"
A1 BUS LTD.,"153,092"
AARDE ENVIRONMENTAL LTD.,"34,508"
ABBOTSFORD COMMUNITY SERVICES,"182,010"
ABBOTSFORD REGIONAL HOSPITAL AND CANCER CENTRE INC.,"27,032"
"ABBOTT LABORATORIES, LIMITED","727,500"
ABC COMMUNICATIONS,"254,184"
ABERDEEN HELICOPTERS LTD.,"465,184"
"ABHAR, KIMIA CHRISTINA","30,660"
ABLETECH ASSISTIVE TECHNOLOGIES INC.,"164,236"
ABSOLUTE CONTRACTING,"135,149"
ABSOLUTE REFRIGERATION LTD.,"25,129"
AC AIRWAYS LTD.,"129,047"
ACCESS HELICOPTERS LTD.,"123,472"
ACCESS RECORDS AND MEDIA MANAGEMENT LTD.,"1,343,913"
ACCURATE COURT BAILIFF SERVICES LTD,"32,303"
ACCURATE MECHANICAL SYSTEMS LTD.,"27,819"
ACHESON SWEENEY FOLEY SAHOTA IN TRUST,"27,500"
ACKLANDS – GRAINGER INC.,"101,269"
ACKO SYSTEMS CONSULTING INC.,"128,290"
ACL SERVICES LTD.,"75,048"
ACME SUPPLIES LTD.,"42,774"
ACME VISIBLE FILING SYSTEMS LTD.,"308,295"
ACOM BUILDING MAINTENANCE LIMITED,"32,703"
ACRES ENTERPRISES LTD.,"867,574"
ACRODEX INC.,"882,787"
ACROW LIMITED,"133,393"
ACTIVE EARTH ENGINEERING LTD.,"1,096,395"
"ADAIR, DOUGLAS BRENT, DR","176,669"
ADAMS ADR SERVICES LTD.,"33,274"
ADAMS LAKE INDIAN BAND,"2,120,542"
"ADANK, CAREL","34,125"
ADAPT PHARMA CANADA LTD.,"64,581"
ADELMISH INVESTMENTS LTD.,"52,673"
ADLARD ENVIRONMENTAL LTD.,"89,249"
ADLERCAST FILMS INC.,"77,053"
ADOBE SYSTEMS INCORPORATED,"359,275"
ADR EDUCATION LTD.,"76,739"
ADSHEAD HOLDINGS LIMITED,"56,475"
ADVANCED ECO–SOLUTIONS INC.,"38,850"
ADVANCED LISTENING,"33,964"
ADVANCED MARINE POWER LTD.,"46,152"
ADVANCED PARKING SYSTEMS LTD.,"88,025"
ADVANCED RESEARCH AND DEVELOPMENT (CANADA) LTD.,"329,303"
ADVANCED SAFETY PARAMEDICS INC.,"38,055"
ADVANCED TECHNOLOGY CORP,"38,827"
ADVANCED TELEMETRY SYSTEMS INC,"49,280"
ADVANIS INC.,"750,838"
ADVANTAGE HELICOPTERS INC.,"2,147,352"
ADVANTAGE RELOCATION SYSTEMS LTD.,"66,286"
ADVENTURE PAVING A DIVISION OF YCS HOLDINGS LTD.,"1,779,273"
AECOM CANADA LTD.,"681,662"
AERO GEOMETRICS LTD.,"27,836"
AEROQUEST MAPCON INC.,"449,844"
AFAC LTD,"974,151"
AFTERMATH HOLDINGS INC.,"115,819"
AGENCE GRAVEL INC.,"111,758"
AGFOR INDUSTRIES LTD.,"47,478"
AGGRESSIVE CONTRACTING LTD.,"64,499"
AGILE CONCEPT CONSULTING INC.,"77,883"
"AGNEW, CATHY MARY MARGARET","26,890"
AGNOVI CORPORATION,"33,558"
AHA CREATIVE STRATEGIES INC.,"49,354"
"AIELLO, FRANK JOSEPH","88,293"
"AINS, INC.","74,900"
AIR LIQUIDE CANADA INC.,"27,946"
AIR SPRAY (1967) LTD.,"11,119,111"
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC.,"212,847"
AIRD & BERLIS LLP,"125,107"
"AIREY–WOOD, ALISON JOAN","54,826"
AIRSPAN HELICOPTERS LTD.,"3,711,783"
AKD REFORESTATION LTD.,"290,602"
AKEHURST AND GALVANI REFORESTATION LTD.,"995,759"
AKIN GUMP STRAUSS HAUER & FELD LLP,"7,246,179"
AKTIV SOFTWARE CORPORATION,"306,750"
AL STOBER CONSTRUCTION LTD.,"332,222"
ALBERNI VALLEY RESCUE SQUAD,"28,648"
ALBERNI–CLAYOQUOT REGIONAL HOSPITAL,"711,786"
ALBERTA BIODIVERSITY MONITORING INSTITUTE,"89,378"
"ALBERTSON, RANDY, IN TRUST","35,000"
ALDERHILL PLANNING INC.,"31,250"
ALEX GRZYBOWSKI & ASSOCIATES LTD.,"1,500,409"
ALEXANDER HOLBURN BEAUDIN + LANG LLP,"1,639,555"
ALEXANDER WHITEHEAD EXECUTIVE SEARCH INC.,"62,690"
ALGONQUIN BRIDGE,"59,390"
ALI–CRAFT BOATS LTD.,"42,297"
"ALIYARZADEH, GOLNAZ","26,083"
ALKALI RESOURCE MANAGEMENT LTD.,"1,629,633"
ALKAN AIR LTD.,"68,256"
"ALKEMA, HAROLD LAMBERT","56,573"
ALL CANADA MOVING,"43,177"
ALL ISLAND EQUITY REIT LIMITED PARTNERSHIP,"66,168"
ALL NATIONS GROUP HOLDINGS LIMITED LIABILITY PARTNERSHIP,"50,455"
ALL PAINTING LTD.,"29,926"
ALL TERRAIN CONSTRUCTION LTD.,"378,690"
ALLEGRA MARKETING & PRINT SOLUTIONS,"50,731"
ALLEN & ASSOCIATES,"122,756"
ALLIANCE MEDICAL MONITORING INC.,"217,386"
ALLIANCE TRAFFIC GROUP INC.,"258,504"
ALLIANCE TRUSS LTD.,"47,114"
ALLIED MEDICAL INSTRUMENTS INC,"60,172"
ALLNORTH CONSULTANTS LIMITED,"1,388,718"
ALL–STARS SILVICULTURE LTD.,"84,548"
ALLTERRA LAND SURVEYING LTD.,"42,961"
ALLUVIAL MANAGEMENT CONSULTING INC.,"140,145"
ALLWEST REPORTING LTD.,"174,584"
ALPHA DESIGN,"28,000"
"ALPHONSE, THOMAS GEORGE","50,187"
ALPINE FIRST AID LTD.,"137,875"
ALPINE HELICOPTERS INC.,"3,763,841"
ALPINE LAKES AIR LTD.,"102,181"
ALPINE LOGGING LTD.,"1,531,405"
ALPINE VILLAGE SHOPPING CENTRE LTD.,"101,372"
ALS CANADA LTD.,"403,877"
ALSAB HOLDINGS CORPORATION & NADAR HOLDINGS LTD.,"139,593"
ALTERNATIVES FUNERAL & CREMATION SERVICES,"39,124"
ALTHERR & SCHELLENBERG CATTLE CO. LTD.,"28,552"
ALTIS HR,"178,172"
ALTUS GROUP DATA SOLUTIONS INC.,"36,275"
ALTUS GROUP LTD.,"187,358"
"AM SANDHER FARMS LTD. & BONN, WALTER & BONN, MARVIN","49,004"
AMBOY LOGGING LTD.,"255,909"
"AMENDT, BRAD WARREN","26,676"
"AMENDT, GEORGE","162,142"
AMER SPORTS CANADA INC.,"118,214"
AMERICAN ASSOCIATION OF SUICIDOLOGY,"46,711"
AMERICAN PSYCHIATRIC ASSOCIATION PUBLISHING,"47,283"
AMEX BANK OF CANADA,"4,955,918"
AMHERST FUNERAL AND CREMATION SERVICES INC.,"31,243"
AMIANTE ENVIRONMENTAL CONSULTING INC.,"66,108"
AMICA OAK BAY INC.,"49,821"
AMJ CAMPBELL VAN LINES,"43,894"
AMJ LAW,"75,287"
"AMOS, WALTER & AMOS, GERTRUD","702,778"
AMPCO MANUFACTURERS INC.,"57,359"
AMPERSAND SYSTEMS INC.,"178,610"
AMRAK WATER GROUP INC.,"117,661"
ANALYSISWORKS INC.,"100,285"
ANDERSON EDUCATIONAL CONSULTING,"34,171"
ANDERSON WATER SERVICES LTD.,"47,102"
"ANDERSON, LESLIE GAYLE","46,376"
"ANDERSON, WALTER","31,275"
ANDESITE HOLDINGS LTD.,"235,405"
ANDREA FISHER–FLEMING LAW CORPORATION,"33,982"
ANDRE'S INVESTMENTS LTD.,"95,618"
"ANDRESEN, ISABELLE","46,853"
ANDREW SHERET LIMITED,"30,732"
ANDREW TODD CONSERVATORS LTD.,"39,375"
"ANDREYCHUK, LORNA M","91,189"
ANDSONS TRANSFER SERVICES,"182,411"
ANDY MEINTS CONTRACTING LTD.,"302,501"
ANITA H. BOEHM LAW CORPORATION,"80,411"
ANNEX CONSULTING GROUP INC.,"996,998"
ANON SOLUTIONS INCORPORATED,"42,000"
ANSPAYAXW DEVELOPMENTS LTD.,"224,083"
ANTARES PROJECT SERVICES LLP,"252,188"
ANTHONY STEADMAN AND ASSOCIATES INC.,"174,282"
"ANTONIAK, KENT MATHEW","27,531"
"ANTUNES, TONY & ANTUNES, DELFINA","40,091"
AON CANADA INC.,"485,287"
AON REED STENHOUSE INC.,"547,105"
APEX ENGINEERING LIMITED,"45,843"
APEX FOREST & WILDFIRE SERVICES LTD.,"3,151,018"
APEX LANDSCAPING & IRRIGATION,"34,704"
APEX REFORESTATION LTD.,"1,403,042"
"APEX SYSTEMS, INC.","25,929"
APLIN & MARTIN CONSULTANTS LTD.,"39,837"
APOLLO COMMUNICATIONS LTD.,"31,747"
"APPELT, KIRSTIN C","78,580"
APPLE ELECTRIC LTD.,"27,171"
APPLEWOOD MOTORS PORT HARDY INC.,"56,274"
APPLIED MAMMAL RESEARCH LTD.,"38,850"
APPNOVATION TECHNOLOGIES INC.,"66,191"
AQUA DRILLING SERVICES LTD.,"37,641"
AQUA Q,"59,560"
AQUATIC INFORMATICS INC.,"103,602"
ARBOR MEMORIAL INC.,"45,686"
ARBUTUS GROVE NURSERY LTD.,"1,532,565"
ARBUTUS WORK SOLUTIONS,"54,271"
ARC ASPHALT RECYCLING INC.,"6,131,220"
ARC DIGITAL CANADA CORP.,"58,743"
ARC PROGRAMS LTD.,"190,199"
ARC RESOURCES LTD.,"705,533"
ARC RIDGE LTD.,"59,337"
ARCHAEO RESEARCH LTD.,"63,432"
ARCHER CRM PARTNERSHIP,"832,065"
ARCTIC CONSTRUCTION LTD,"507,493"
ARCTIG FABRICATING & WELDING LTD.,"57,044"
ARCTIQ INC.,"413,167"
ARDUINI HELICOPTERS LTD.,"444,945"
ARETE SAFETY AND PROTECTION INC.,"112,795"
ARGO ROAD MAINTENANCE (SOUTH OKANAGAN) INC.,"35,380,601"
ARGO ROAD MAINTENANCE (THOMPSON) INC.,"16,263,451"
ARGOSY CONSTRUCTION GROUP INC.,"226,972"
ARGUS CONTROL SYSTEMS LTD.,"71,930"
ARI FINANCIAL SERVICES INC.,"32,266,460"
ARISE CONTRACTING INC.,"152,939"
ARIZONA STATE UNIVERSITY,"112,177"
ARKANGELSKI ENTERPRISES,"167,012"
"ARKANGELSKI, LINDA & ARKANGELSKI, VASSILI","63,894"
ARMAND PAQUET CONTRACTING LTD.,"25,836"
ARMINDO DETEVES CONTRACTING LTD..,"55,386"
ARMOUR SECURITY AND PROTECTION SERVICES CORP.,"1,103,530"
ARMSTRONG SAND & GRAVEL LTD.,"25,195"
ARMTEC,"175,583"
ARMTEC INC.,"555,418"
ARMTEC LIMITED PARTNERSHIP,"262,791"
ARNE PELTZ LAW CORPORATION,"40,441"
ARNICA CONTRACTING INC.,"919,288"
ARROW HELICOPTERS INC.,"845,441"
ARROWSMITH ROAD MAINTENANCE LTD.,"3,727,203"
ARROWSMITH SEARCH AND RESCUE SOCIETY,"40,749"
ARSENAULT TREE SERVICE,"63,622"
ARTICULATE INTERNATIONAL LTD.,"1,284,705"
ARTIS AULDS CORNER NANAIMO LTD.,"838,746"
ARTISAN INFORMATION SYSTEMS INCORPORATED,"210,326"
ARTMET ENTERPRISES INC.,"450,036"
ARVAY FINLAY LLP,"777,432"
ASCENT HELICOPTERS LTD.,"5,272,151"
ASCENTECH SOLUTIONS INC.,"38,780"
"ASEY, AHMAD","37,000"
ASHCROFT & CO,"62,808"
ASHCROFT & CO IN TRUST,"78,045"
"ASHWORTH, RYAN PATRICK","137,561"
ASK WELLNESS SOCIETY,"41,900"
ASPAC TRADELINKS CONSULTANTS INC.,"353,660"
"ASPELL, ANDRE JAMES","214,675"
ASPEN DATA EXPERTS INC.,"91,476"
ASPEN PLANERS LTD.,"94,004"
ASPHALT VALLEY SERVICES LTD.,"35,985"
ASPYR ENGINEERING LTD.,"35,080"
ASQ BUILDING LTD.,"782,725"
ASSERTIVE EXCAVATING AND DEMOLITION LTD.,"37,485"
ASSIRAL HOLDINGS LTD.,"65,264"
ASSMAN'S FUNERAL CHAPEL,"134,029"
ASSOCIATED BUILDING CREDITS LTD.,"265,609"
ASSOCIATED ENGINEERING (B.C.) LTD.,"12,342,164"
ASSOCIATED ENVIRONMENTAL CONSULTANTS INC.,"361,519"
ASSOCIATED INDEPENDENT ADJUSTERS VICTORIA,"48,719"
ASTROGRAPHIC INDUSTRIES LTD.,"127,830"
ASTUTE MANAGEMENT CONSULTING INC.,"381,914"
ATCO STRUCTURES & LOGISTICS LTD.,"846,169"
ATELIER INVESTMENTS (900 HOWE) INC.,"1,213,991"
"ATKINSON, KIM","59,275"
ATLANTIC INDUSTRIES LIMITED,"426,580"
ATLAS VAN LINES (CANADA) LTD.,"367,820"
ATLASSIAN PTY LTD.,"122,599"
ATLIN COMMUNITY IMPROVEMENT DISTRICT,"168,177"
ATS TRAFFIC – BRITISH COLUMBIA LTD.,"71,416"
"ATWAL, NAVDEEP S","74,821"
AURORA HELICOPTERS LTD.,"1,186,901"
"AUTOMIC CANADA LOGICIELS, INC.","78,760"
AUTUMN HILLS FARM LTD.,"38,270"
AVALANCHE METAL INDUSTRIES LTD.,"220,578"
AVATEK MOUNTAIN SYSTEMS INC.,"1,006,081"
AVENZA SYSTEMS INC.,"26,249"
AVISON YOUNG PROPERTY MANAGEMENT (B.C.) INC.,"81,231"
AVI–SPL CANADA LTD.,"555,329"
AVO VEHICLE OUTFITTING INC.,"351,988"
AVOCETTE TECHNOLOGIES INC.,"24,803,521"
AVTAR INVESTMENTS LTD.,"147,311"
AXIOMA ENTERPRISES LTD.,"69,307"
AXIS DESIGN LTD.,"79,380"
AXIS FAMILY RESOURCES LTD.,"202,462"
A–Z FOAM LTD.,"58,912"
AZIMUTH CONSULTING GROUP PARTNERSHIP,"32,960"
AZIMUTH FORESTRY & MAPPING SOLUTIONS LTD,"590,343"
AZURA FORMETRICS,"226,519"
B & S CONSTRUCTION,"43,148"
B & W HORSEFLY SERVICES LTD.,"30,544"
B C GRANTS,"203,330,212"
B C PENSION CORPORATION,"98,836"
B C TRANSIT,"48,251,235"
B&D O'BRIEN CONSULTING INC.,"33,350"
B. B. K. CONTRACTING LTD.,"69,839"
B. C. CATTLE CO. LTD.,"26,359"
B. G. SELF LOADING LTD.,"412,216"
B. SMALL ENTERPRISES LTD.,"188,869"
B.A. BENSON & SON LTD.,"39,070"
B.A. BLACKTOP LTD.,"990,198"
B.A. BLACKWELL & ASSOCIATES LTD.,"1,860,401"
B.C. COMMUNICATIONS INC.,"75,019"
B.C. FOOD PROCESSORS ASSOCIATION,"47,105"
B.C. GOVERNMENT AND SERVICE EMPLOYEES' UNION,"77,396"
B.C. MARINE PARKS FOREVER SOCIETY,"32,500"
B.C. MOVING AND STORAGE LTD.,"58,966"
B.C. TURF LTD.,"90,771"
B.C.T. FENCING LTD.,"42,232"
B.L.T. CONSTRUCTION SERVICES INC.,"2,144,129"
B.R.A.T. EXPEDITING,"88,469"
BABIN AIR LTD.,"49,565"
BABINE FOREST PRODUCTS LIMITED,"191,609"
"BABY, BENJAMIN JOSEPH","31,613"
BACK IN MOTION REHAB INC.,"1,359,690"
BACKCOUNTRY TRAIL EXPERTS,"55,545"
BACKROAD CONTRACTING LTD.,"40,934"
BAD VENTURES LTD.,"571,728"
"BAHNIWAL, GURDEV SINGH","94,371"
"BAHNIWAL, SUKHDEV S","29,189"
BAILEY HELICOPTERS LTD.,"4,070,277"
"BAILEY, GUY","1,179,444"
BAINS STRATEGIES INC.,"41,214"
"BAINS, PARDEEP KAUR","60,989"
BAIRD BROS. LTD.,"44,983"
BAKER CREEK ESTATES LTD.,"162,149"
BAL GLOBAL FINANCE CANADA CORPORATION,"1,311,737"
BALCAEN CONSOLIDATED CONTRACTING LTD.,"168,705"
"BALL, DAVID LLOYD","25,301"
BALME AYR FARMS LTD.,"45,241"
BAM BAM TRUCKING LTD.,"85,146"
BANDERS GEOSPATIAL SYSTEMS LTD.,"113,775"
BANDSTRA MOVING SYSTEMS LTD.,"65,888"
BANDSTRA TRANSPORTATION SYSTEMS LTD.,"336,811"
BANDSTRA VENTURES LTD.,"36,538"
BANISTER & COMPANY,"146,860"
BANK OF INTERNATIONAL SETTLEMENTS,"32,251"
BANK OF MONTREAL,"200,755"
BANK OF MONTREAL (MASTERCARD),"53,175,412"
BANK OF NOVA SCOTIA,"39,056"
BANNER RECREATION & MARINE,"69,375"
"BANNER, ALLEN","44,406"
BAP ACOUSTICS LTD.,"28,044"
BAR XH AIR INC.,"116,264"
BARAGAR ENTERPRISES LTD.,"87,750"
BARBERSHOP FILMS INC.,"39,681"
BARD CANADA INC.,"247,468"
BAREFOOT CONCRETE FINISHING LTD.,"73,351"
BARLOW LAKE LOGGING LTD.,"29,023"
"BARNES, GAIL P","71,060"
"BARRETT, GORDON WILLIAM AND BARRETT, LYNDA DIANE","638,350"
BARRICK LOGGING LTD.,"43,591"
BARRIE MACKAY CONTRACTING LTD.,"4,336,376"
"BARRON, LENNON","49,983"
BARRY'S BULLDOZING,"115,560"
BARTLETT CONSULTING SERVICES,"158,483"
BARTLETT CONTRACTING & EXCAVATING,"37,073"
BASETWO MEDIA INC.,"47,821"
"BASSI, TALWINDER","41,542"
"BATES, JACK & BATES, KEN & BATES, ALLEN & BATES, BILL & BATES, GEORGE","93,379"
BATNUNI LAKE RESORT,"84,121"
BAXTER CORPORATION,"422,647"
"BAXTER, JEREMY THOMAS ANDREW","55,202"
BAYLIFF ENTERPRISES LTD.,"369,412"
BC CLINICAL AND SUPPORT SERVICES SOCIETY,"34,399"
BC ECOCHIPS LTD.,"159,722"
BC EMERGENCY HEALTH SERVICES,"132,709"
BC LOG & TIMBER BUILDING INDUSTRY ASSOCIATION,"27,802"
BC OIL AND GAS COMMISSION,"254,888"
BC ONLINE,"115,313"
BC TRANSPORTATION FINANCING AUTHORITY,"465,205,454"
BC TREE FRUITS COOPERATIVE,"101,264"
BCCA PROGRAM DELIVERY INC.,"1,498,451"
BCFPI SCREENINGS AND OUTCOMES SYSTEMS INC.,"161,666"
BCNET,"76,372"
BD HALL CONSTRUCTORS CORP.,"10,765,171"
BDH CONSULTING & SYSTEMS MANAGEMENT INC.,"126,363"
BDO CANADA LLP,"579,053"
BEAR CREEK CONTRACTING LTD.,"616,758"
BEAR VALLEY RANCH LTD.,"26,914"
BEARCREEK VENTURES LTD.,"52,328"
"BEAUDET, KRISTOPHER","36,905"
BEAVER MEADOWS FARMS (1971) LTD,"51,309"
BEAVER VALLEY FEEDS (1990) LTD.,"59,168"
BEDFORD ENTERPRISES LTD.,"151,390"
BEE JAY'S EXCAVATING LTD.,"26,016"
BEE–CLEAN BUILDING MAINTENANCE INCORPORATED,"35,572"
"BEER, BRADLEY D","109,256"
BEGBIE COURT HOLDINGS INC.,"254,940"
"BEIER, ROLAND & BEIER, ROSEMARY","53,381"
"BEIJING JIA AO REAL ESTATE DEVELOPMENT CO., LTD.","407,421"
"BEIRNE, PATRICK JAMES","178,915"
BEIRNESS & ASSOCIATES INC.,"418,100"
BEKINS MOVING AND STORAGE (CANADA) LTD.,"317,115"
BELL AND HOWELL CANADA LTD.,"277,023"
BELL FIRST AID SERVICES LTD.,"118,921"
BELL FOUR VENTURES LTD.,"26,517"
BELL GLOBEMEDIA PUBLISHING INC,"58,732"
BELL MOBILITY INC.,"246,356"
"BELL, CORINN M","81,641"
"BELL, KATHERINE J","27,677"
"BELL, WILLIAM HENRY","43,020"
BELLA COOLA COMMUNITY FOREST LTD.,"26,156"
BELLA COOLA REDI–MIX (2011) INC.,"71,941"
"BELLAMY, CHRISTOPHER, DR","37,400"
"BELLAVANCE, JAMES DAVID","36,511"
BELMAR CONSULTING GROUP INC.,"49,912"
"BELTRAME, GEORGE & BELTRAME, DEBBIE","44,167"
BELVEDERE PAVING LTD.,"4,070,200"
BELVEDERE PLACE CONTRACTING LTD.,"2,181,768"
